Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,363.674087113049
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,6377.20309553753
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3700.31119460857
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,15743.3107582991
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,42072.341103463
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1903.71740495688
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,16740.3481963818
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10636.1155301986
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4966.51347122366
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,29342.1007300268
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,60444.5023551978
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,53637.7057109897
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5408.04535175023
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,28260.4325506367
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,26860.0725018105
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2457.92404902236
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,17225.4623044097
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7489.71894713888
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,51268.3880373598
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6228.26730928353
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1361.10074905831
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,111774.669092278
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3266.36277371286
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3345.19658838387
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,7230.19816280366
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7238.79609591086
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,7696.78553127562
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31448.9136078023
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,12222.235645941
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,893.077195986297
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,221.15780340632
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3557.83777540965
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1625.2350215138
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1666.93280948232
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,52358.6216405155
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,88475.6008787475
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,461.137510928519
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,685.690314996613
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,67960.7269955768
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,16247.4010150765
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,12617.5049863004
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6182.70709867969
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1577.47084066118
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,577.209215199828
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2290.38299445343
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12537.2567461753
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2613.37889305378
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,17747.7892862107
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,17717.5964802588
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,31552.03515625
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,26822.5141862111
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,68007.7566732954
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3050.30628163732
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7668.15813216962
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8476.7496882797
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5965.13287054416
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3886.7224983901
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,4664.31122268385
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7506.66786103709
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,27943.701219882
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3982.90522931685
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,925.000697216762
