Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,40099462
"Population, total",SP.POP.TOTL,Albania,ALB,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,44177969
"Population, total",SP.POP.TOTL,American Samoa,ASM,45035
"Population, total",SP.POP.TOTL,Andorra,AND,79034
"Population, total",SP.POP.TOTL,Angola,AGO,34503774
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,93219
"Population, total",SP.POP.TOTL,Argentina,ARG,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,2790974
"Population, total",SP.POP.TOTL,Aruba,ABW,106537
"Population, total",SP.POP.TOTL,Australia,AUS,25688079
"Population, total",SP.POP.TOTL,Austria,AUT,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,407906
"Population, total",SP.POP.TOTL,Bahrain,BHR,1463265
"Population, total",SP.POP.TOTL,Bangladesh,BGD,169356251
"Population, total",SP.POP.TOTL,Barbados,BRB,281200
"Population, total",SP.POP.TOTL,Belarus,BLR,9302585
"Population, total",SP.POP.TOTL,Belgium,BEL,11592952
"Population, total",SP.POP.TOTL,Belize,BLZ,400031
"Population, total",SP.POP.TOTL,Benin,BEN,12996895
"Population, total",SP.POP.TOTL,Bermuda,BMU,63764
"Population, total",SP.POP.TOTL,Bhutan,BTN,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,38226498
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5457154
"Population, total",SP.POP.TOTL,Chad,TCD,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,172683
"Population, total",SP.POP.TOTL,Chile,CHL,19493184
"Population, total",SP.POP.TOTL,China,CHN,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,95894118
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5835806
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5153957
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,27478249
"Population, total",SP.POP.TOTL,Croatia,HRV,3879000
"Population, total",SP.POP.TOTL,Cuba,CUB,11256372
"Population, total",SP.POP.TOTL,Curacao,CUW,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,1244188
"Population, total",SP.POP.TOTL,Czechia,CZE,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,1105557
"Population, total",SP.POP.TOTL,Dominica,DMA,72412
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,11117873
"Population, total",SP.POP.TOTL,Ecuador,ECU,17797737
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,109262178
"Population, total",SP.POP.TOTL,El Salvador,SLV,6314167
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1634466
"Population, total",SP.POP.TOTL,Eritrea,ERI,3620312
"Population, total",SP.POP.TOTL,Estonia,EST,1330932
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1192271
"Population, total",SP.POP.TOTL,Ethiopia,ETH,120283026
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,52889
"Population, total",SP.POP.TOTL,Fiji,FJI,924610
"Population, total",SP.POP.TOTL,Finland,FIN,5541017
"Population, total",SP.POP.TOTL,France,FRA,67749632
"Population, total",SP.POP.TOTL,French Polynesia,PYF,304032
"Population, total",SP.POP.TOTL,Gabon,GAB,2341179
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2639916
"Population, total",SP.POP.TOTL,Georgia,GEO,3708610
"Population, total",SP.POP.TOTL,Germany,DEU,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,32833031
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32669
"Population, total",SP.POP.TOTL,Greece,GRC,10641221
"Population, total",SP.POP.TOTL,Greenland,GRL,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,124610
"Population, total",SP.POP.TOTL,Guam,GUM,170534
"Population, total",SP.POP.TOTL,Guatemala,GTM,17109746
"Population, total",SP.POP.TOTL,Guinea,GIN,13531906
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,2060721
"Population, total",SP.POP.TOTL,Guyana,GUY,804567
"Population, total",SP.POP.TOTL,Haiti,HTI,11447569
"Population, total",SP.POP.TOTL,Honduras,HND,10278345
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,9709891
"Population, total",SP.POP.TOTL,Iceland,ISL,372520
"Population, total",SP.POP.TOTL,India,IND,1407563842
"Population, total",SP.POP.TOTL,Indonesia,IDN,273753191
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,87923432
"Population, total",SP.POP.TOTL,Iraq,IRQ,43533592
"Population, total",SP.POP.TOTL,Ireland,IRL,5033165
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84263
"Population, total",SP.POP.TOTL,Israel,ISR,9364700
"Population, total",SP.POP.TOTL,Italy,ITA,59109668
"Population, total",SP.POP.TOTL,Jamaica,JAM,2827695
"Population, total",SP.POP.TOTL,Japan,JPN,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,11148278
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19000988
"Population, total",SP.POP.TOTL,Kenya,KEN,53005614
"Population, total",SP.POP.TOTL,Kiribati,KIR,128874
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25971909
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51744876
"Population, total",SP.POP.TOTL,Kosovo,XKX,1786038
"Population, total",SP.POP.TOTL,Kuwait,KWT,4250114
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6691800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7425057
"Population, total",SP.POP.TOTL,Latvia,LVA,1884490
"Population, total",SP.POP.TOTL,Lebanon,LBN,5592631
"Population, total",SP.POP.TOTL,Lesotho,LSO,2281454
"Population, total",SP.POP.TOTL,Liberia,LBR,5193416
"Population, total",SP.POP.TOTL,Libya,LBY,6735277
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,39039
"Population, total",SP.POP.TOTL,Lithuania,LTU,2800839
"Population, total",SP.POP.TOTL,Luxembourg,LUX,640064
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,686607
"Population, total",SP.POP.TOTL,Madagascar,MDG,28915653
